rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_longp,koi_longp_err1,koi_longp_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,kepid_str,kepname,invrprs_bin_index,invrprs_bin_edges,rprs_bin_edges
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,11.09432054,2.036e-05,-2.036e-05,171.20116,0.00141,-0.00141,2455004.201,0.00141,-0.00141,0.0,,,,,,0.538,0.03,-0.428,4.5945,0.061,-0.061,,,,1517.5,24.2,-24.2,0.036779,0.005115,-0.001065,0.67324,0.33286,-0.38858,LS+MCMC,3.9,1.27,-0.42,0.0992,,,88.11,,,835.0,,,114.81,112.85,-36.7,16.36,8.1,-8.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,9.046456,55.204865,66.5,3,95.0,1.0,q1_q17_dr25_tce,01111101110111011000000000000000,0.0975,Mandel and Agol (2002 ApJ 580 171),,,010/010872/010872983/dv/kplr010872983-20160209194854_dvr.pdf,010/010872/010872983/dv/kplr010872983-001-20160209194854_dvs.pdf,6046.0,189.0,-232.0,4.486,0.054,-0.229,-0.08,0.25,-0.3,0.972,0.315,-0.105,1.053,0.135,-0.15,,,,q1_q17_dr25_stellar,296.28613,48.22467,15.714,16.234,15.677,15.492,15.441,14.528,14.113,14.132,,19.7524061,6.1e-06,48.22471,6.5e-05,-0.12,0.22,0.14,0.24,4e-05,0.00034,,,0.04,0.12,-0.07,0.11,0.08,0.13,-0.02,0.13,-0.08,0.1,0.08,0.1,kplr010872983,Kepler-228d,13,"(26, 31)","(0.03225806451612903, 0.038461538461538464)"
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,16.06864674,1.088e-05,-1.088e-05,173.621937,0.000517,-0.000517,2455006.622,0.000517,-0.000517,0.0,,,,,,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,,,,4914.3,33.3,-33.3,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,LS+MCMC,5.76,0.22,-0.49,0.1158,,,89.92,,,600.0,,,30.75,4.46,-6.66,36.85,1.2,-1.2,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1451,0.582,q1_q17_dr25_koi,20.457163,137.44981,161.9,3,69.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.1819,Mandel and Agol (2002 ApJ 580 171),,,010/010910/010910878/dv/kplr010910878-20160209194854_dvr.pdf,010/010910/010910878/dv/kplr010910878-001-20160209194854_dvs.pdf,5031.0,75.0,-83.0,4.485,0.083,-0.028,0.16,0.15,-0.15,0.848,0.033,-0.072,0.801,0.052,-0.03,,,,q1_q17_dr25_stellar,286.99948,48.37579,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785,0.063,19.1332989,2.5e-06,48.375778,2.4e-05,0.033,0.091,-0.044,0.086,0.00026,0.00063,0.00049,0.00078,0.041,0.075,-0.015,0.073,0.044,0.075,0.005,0.075,0.03,0.082,0.031,0.081,kplr010910878,Kepler-229c,10,"(15, 18)","(0.05555555555555555, 0.06666666666666667)"
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.811,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,2.470613377,2.7e-08,-2.7e-08,122.763305,8.7e-06,-8.7e-06,2454955.763,8.7e-06,-8.7e-06,0.0,,,,,,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,,,,14231.0,4.2,-4.2,0.123871,5.1e-05,-7.1e-05,1.83538,0.00587,-0.00846,LS+MCMC,13.04,0.51,-0.51,0.0354,,,84.41,,,1339.0,,,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,544.1701,6468.04,4304.3,1,432.0,1.0,q1_q17_dr25_tce,11111110111011101000000000000000,0.1522,Mandel and Agol (2002 ApJ 580 171),,,011/011446/011446443/dv/kplr011446443-20160209194854_dvr.pdf,011/011446/011446443/dv/kplr011446443-001-20160209194854_dvs.pdf,5820.0,78.0,-78.0,4.457,0.024,-0.024,-0.06,0.15,-0.15,0.964,0.038,-0.038,0.971,0.062,-0.056,,,,q1_q17_dr25_stellar,286.80847,49.316399,11.338,11.736,11.275,11.168,11.126,10.232,9.92,9.846,0.0,19.12056404,4.6e-08,49.31642961,4.9e-07,-0.0232,0.0016,0.1066,0.0018,-0.00012,0.00012,0.00078,0.00019,-0.009,0.068,-0.3,0.16,0.3,0.16,0.015,0.069,-0.27,0.17,0.27,0.17,kplr011446443,Kepler-1b,6,"(7, 9)","(0.1111111111111111, 0.14285714285714285)"
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_DV---PLANET_OCCULT_DV---MOD_SEC_ALT---PLANET_OCCULT_ALT---HAS_SEC_TCE---CENT_SATURATED,2.204735417,4.3e-08,-4.3e-08,121.3585417,1.6e-05,-1.6e-05,2454954.359,1.6e-05,-1.6e-05,0.0,,,,,,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,,,,6674.7,1.7,-1.7,0.075522,0.000298,-0.00035,0.37936,0.02846,-0.02633,LS+MCMC,16.1,0.81,-0.91,0.0376,,,87.21,,,2048.0,,,4148.92,651.59,-654.46,4.602,0.345,-0.345,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3168,0.2958,q1_q17_dr25_koi,232.27,3862.1846,5945.9,1,611.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0,Mandel and Agol (2002 ApJ 580 171),,,010/010666/010666592/dv/kplr010666592-20160209194854_dvr.pdf,010/010666/010666592/dv/kplr010666592-001-20160209194854_dvs.pdf,6440.0,76.0,-89.0,4.019,0.033,-0.027,0.14,0.15,-0.15,1.952,0.099,-0.11,1.449,0.07,-0.091,,,,q1_q17_dr25_stellar,292.24728,47.969521,10.463,10.935,10.49,,,9.555,9.344,9.334,,19.483163025,5.9e-08,47.96930831,6.3e-07,0.3986,0.0021,-0.7585,0.0023,-0.001754,3.8e-05,,,2.22,0.57,-3.29,0.5,3.97,0.7,2.02,0.69,-3.67,0.51,4.19,0.75,kplr010666592,Kepler-2b,9,"(12, 15)","(0.06666666666666667, 0.08333333333333333)"
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.998,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.522498429,1.98e-07,-1.98e-07,121.1194228,4.71e-05,-4.71e-05,2454954.119,4.71e-05,-4.71e-05,0.0,,,,,,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,,,,9145.7,6.6,-6.6,0.092086,0.000141,-0.000177,0.65374,0.01481,-0.01458,LS+MCMC,14.59,1.11,-1.11,0.0473,,,85.2,,,1521.0,,,1264.67,307.23,-276.48,7.541,0.171,-0.171,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.305,0.3201,q1_q17_dr25_koi,130.83832,1725.5824,1741.5,1,384.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6662,Mandel and Agol (2002 ApJ 580 171),,,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,006/006922/006922244/dv/kplr006922244-001-20160209194854_dvs.pdf,6225.0,112.0,-137.0,4.169,0.055,-0.045,-0.04,0.15,-0.15,1.451,0.11,-0.11,1.132,0.108,-0.078,,,,q1_q17_dr25_stellar,281.28812,42.45108,13.563,13.886,13.511,13.424,13.413,12.576,12.324,12.293,0.0,18.75252746,2.2e-07,42.4510634,2.1e-06,-0.5515,0.0087,-0.0597,0.0075,1e-05,0.00017,0.00036,0.00021,0.014,0.067,-0.013,0.067,0.02,0.067,-0.028,0.067,0.176,0.068,0.178,0.068,kplr006922244,Kepler-8b,8,"(10, 12)","(0.08333333333333333, 0.1)"
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.709214104,6.536e-06,-6.536e-06,133.98318,0.00143,-0.00143,2454966.983,0.00143,-0.00143,0.0,,,,,,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,,,,131.1,3.0,-3.0,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,LS+MCMC,1.16,0.17,-0.12,0.0465,,,89.73,,,1206.0,,,500.46,197.96,-130.54,10.888,0.398,-0.398,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2622,0.4035,q1_q17_dr25_koi,4.8657312,41.28873,50.6,2,352.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.605,Mandel and Agol (2002 ApJ 580 171),,,010/010984/010984090/dv/kplr010984090-20160209194854_dvr.pdf,010/010984/010984090/dv/kplr010984090-002-20160209194854_dvs.pdf,5833.0,105.0,-117.0,4.407,0.085,-0.114,-0.04,0.15,-0.15,1.022,0.143,-0.107,0.974,0.066,-0.066,,,,q1_q17_dr25_stellar,295.64871,48.49556,12.772,13.169,12.74,12.602,12.564,11.698,11.402,11.367,0.009,19.709924,7.6e-06,48.495685,7.9e-05,0.36,0.27,0.45,0.28,-4.6e-05,3.4e-05,-5e-05,3.6e-05,0.24,0.16,-0.15,0.28,0.29,0.2,0.16,0.16,-0.13,0.27,0.21,0.21,kplr010984090,Kepler-466c,20,"(93, 112)","(0.008928571428571428, 0.010752688172043012)"
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,9.27358173,1.037e-05,-1.037e-05,173.258155,0.000877,-0.000877,2455006.258,0.000877,-0.000877,0.0,,,,,,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,,,,1288.3,16.8,-16.8,0.032563,0.003061,-0.00063,1.93557,0.52971,-0.14046,LS+MCMC,2.47,0.2,-0.24,0.0759,,,88.93,,,649.0,,,41.85,12.49,-11.7,20.65,5.6,-5.6,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.1263,0.6019,q1_q17_dr25_koi,9.616924,71.48005,87.2,1,144.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.0504,Mandel and Agol (2002 ApJ 580 171),,,010/010526/010526549/dv/kplr010526549-20160209194854_dvr.pdf,010/010526/010526549/dv/kplr010526549-001-20160209194854_dvs.pdf,4856.0,131.0,-146.0,4.583,0.065,-0.035,-0.3,0.3,-0.3,0.696,0.056,-0.068,0.676,0.088,-0.047,,,,q1_q17_dr25_stellar,288.13824,47.724449,15.302,16.111,15.24,14.955,14.765,13.672,13.12,13.033,0.037,19.2092154,5.3e-06,47.724506,4.6e-05,-0.05,0.19,0.2,0.16,0.00034,0.00024,0.00019,0.00022,-0.059,0.085,-0.008,0.073,0.059,0.085,0.042,0.084,0.344,0.081,0.346,0.081,kplr010526549,Kepler-660b,14,"(31, 37)","(0.02702702702702703, 0.03225806451612903)"
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,CENT_KIC_POS,6.02930329,5.509e-06,-5.509e-06,171.602959,0.000713,-0.000713,2455004.603,0.000713,-0.000713,0.0,,,,,,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,,,,1912.7,34.4,-34.4,0.038838,0.001021,-0.001203,13.09803,1.84066,-3.66782,LS+MCMC,2.85,0.26,-0.15,0.0585,,,89.5,,,678.0,,,50.04,16.4,-9.88,29.31,4.1,-4.1,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.0628,0.6908,q1_q17_dr25_koi,6.876831,52.36939,65.4,1,215.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,1.0,Mandel and Agol (2002 ApJ 580 171),,,010/010583/010583066/dv/kplr010583066-20160209194854_dvr.pdf,010/010583/010583066/dv/kplr010583066-001-20160209194854_dvs.pdf,4537.0,123.0,-123.0,4.648,0.02,-0.056,0.21,0.2,-0.3,0.672,0.062,-0.036,0.761,0.033,-0.067,,,,q1_q17_dr25_stellar,283.71088,47.86327,15.784,16.838,15.758,15.332,15.1,14.001,13.37,13.231,0.77,18.9140505,6.1e-06,47.863205,5.8e-05,-0.32,0.22,-0.24,0.21,-0.00017,0.00043,-0.0001,0.00044,0.11,0.11,0.01,0.12,0.11,0.11,-0.19,0.11,-0.24,0.12,0.3,0.1,kplr010583066,Kepler-661b,13,"(26, 31)","(0.03225806451612903, 0.038461538461538464)"
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,5.349553819,8.834e-06,-8.834e-06,171.80694,0.00127,-0.00127,2455004.807,0.00127,-0.00127,0.0,,,,,,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,,,,831.0,14.8,-14.8,0.025706,0.000845,-0.000453,1.73782,0.00625,-0.73875,LS+MCMC,2.55,0.16,-0.24,0.0563,,,89.62,,,919.0,,,168.99,34.66,-38.48,13.8015,0.0496,-0.0496,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.186,0.5256,q1_q17_dr25_koi,6.0370364,48.504196,60.6,3,247.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7722,Mandel and Agol (2002 ApJ 580 171),,,010/010601/010601284/dv/kplr010601284-20160209194854_dvr.pdf,010/010601/010601284/dv/kplr010601284-001-20160209194854_dvs.pdf,5185.0,85.0,-77.0,4.44,0.098,-0.045,0.16,0.15,-0.15,0.91,0.057,-0.086,0.831,0.058,-0.032,,,,q1_q17_dr25_stellar,292.37613,47.880989,15.416,15.988,15.363,15.172,15.093,14.114,13.724,13.633,0.002,19.4917224,9.3e-06,47.880883,8.4e-05,-0.71,0.34,-0.38,0.3,0.00055,0.00028,0.0003,0.00025,0.04,0.13,-0.02,0.12,0.04,0.13,-0.02,0.12,-0.03,0.12,0.04,0.12,kplr010601284,Kepler-226c,15,"(37, 45)","(0.022222222222222223, 0.02702702702702703)"
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.280963604,6.141e-06,-6.141e-06,171.89659,0.00115,-0.00115,2455004.897,0.00115,-0.00115,0.0,,,,,,0.424,0.112,-0.356,2.875,0.042,-0.042,,,,750.8,14.1,-14.1,0.025377,0.000141,-0.000935,1.24482,0.4541,-0.15577,LS+MCMC,2.3,0.58,-0.19,0.0503,,,87.72,,,1012.0,,,247.87,182.24,-63.32,10.64,3.9,-3.9,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2676,0.3928,q1_q17_dr25_koi,6.7006826,52.913242,61.8,1,311.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.4302,Mandel and Agol (2002 ApJ 580 171),,,011/011460/011460018/dv/kplr011460018-20160209194854_dvr.pdf,011/011460/011460018/dv/kplr011460018-001-20160209194854_dvs.pdf,5644.0,152.0,-169.0,4.564,0.032,-0.168,-0.14,0.3,-0.3,0.831,0.207,-0.069,0.928,0.094,-0.115,,,,q1_q17_dr25_stellar,294.26581,49.314091,15.356,15.926,15.314,15.112,15.033,14.121,13.756,13.769,0.0,19.6177106,5.3e-06,49.314102,5.1e-05,-0.33,0.19,0.04,0.18,0.00073,0.00014,6e-05,0.00014,0.003,0.089,-0.065,0.088,0.066,0.088,-0.015,0.089,0.158,0.088,0.158,0.088,kplr011460018,Kepler-671b,15,"(37, 45)","(0.022222222222222223, 0.02702702702702703)"
